date,bitcoin,cryptocurrency,Ethereum,BTC,ETH,isPartial
2014-03-30,3,0,0,1,0,False
2014-04-06,3,0,0,1,0,False
2014-04-13,3,0,0,1,0,False
2014-04-20,3,0,0,1,0,False
2014-04-27,3,0,0,1,0,False
2014-05-04,2,0,0,1,0,False
2014-05-11,2,0,0,1,0,False
2014-05-18,2,0,0,1,0,False
2014-05-25,3,0,0,1,0,False
2014-06-01,3,0,0,1,0,False
2014-06-08,3,0,0,1,0,False
2014-06-15,3,0,0,1,0,False
2014-06-22,2,0,0,1,0,False
2014-06-29,2,0,0,1,0,False
2014-07-06,2,0,0,1,0,False
2014-07-13,2,0,0,1,0,False
2014-07-20,2,0,0,1,0,False
2014-07-27,2,0,0,1,0,False
2014-08-03,2,0,0,1,0,False
2014-08-10,3,0,0,1,0,False
2014-08-17,3,0,0,1,0,False
2014-08-24,2,0,0,1,0,False
2014-08-31,2,0,0,1,0,False
2014-09-07,3,0,0,1,0,False
2014-09-14,2,0,0,1,1,False
2014-09-21,2,0,0,1,0,False
2014-09-28,2,0,0,1,0,False
2014-10-05,3,0,0,1,0,False
2014-10-12,2,0,0,1,0,False
2014-10-19,2,0,0,1,0,False
2014-10-26,2,0,0,1,0,False
2014-11-02,2,0,0,1,0,False
2014-11-09,2,0,0,1,0,False
2014-11-16,2,0,0,1,0,False
2014-11-23,2,0,0,1,0,False
2014-11-30,2,0,0,1,0,False
2014-12-07,2,0,0,1,0,False
2014-12-14,2,0,0,1,0,False
2014-12-21,3,0,0,1,0,False
2014-12-28,2,0,0,1,0,False
2015-01-04,3,0,0,1,0,False
2015-01-11,3,0,0,1,0,False
2015-01-18,2,0,0,1,0,False
2015-01-25,2,0,0,1,0,False
2015-02-01,2,0,0,1,0,False
2015-02-08,2,0,0,1,0,False
2015-02-15,2,0,0,1,0,False
2015-02-22,2,0,0,1,0,False
2015-03-01,2,0,0,1,0,False
2015-03-08,2,0,0,1,0,False
2015-03-15,2,0,0,1,0,False
2015-03-22,2,0,0,1,0,False
2015-03-29,2,0,0,1,0,False
2015-04-05,2,0,0,1,0,False
2015-04-12,2,0,0,1,0,False
2015-04-19,2,0,0,1,0,False
2015-04-26,2,0,0,1,0,False
2015-05-03,2,0,0,1,0,False
2015-05-10,2,0,0,1,0,False
2015-05-17,2,0,0,1,0,False
2015-05-24,2,0,0,1,0,False
2015-05-31,2,0,0,1,0,False
2015-06-07,2,0,0,1,0,False
2015-06-14,2,0,0,1,0,False
2015-06-21,2,0,0,1,0,False
2015-06-28,2,0,0,1,0,False
2015-07-05,3,0,0,1,0,False
2015-07-12,2,0,0,1,0,False
2015-07-19,2,0,0,1,0,False
2015-07-26,2,0,0,1,0,False
2015-08-02,2,0,0,1,0,False
2015-08-09,2,0,0,1,0,False
2015-08-16,2,0,0,1,0,False
2015-08-23,2,0,0,1,0,False
2015-08-30,2,0,0,1,0,False
2015-09-06,2,0,0,3,0,False
2015-09-13,2,0,0,2,1,False
2015-09-20,2,0,0,2,1,False
2015-09-27,2,0,0,1,0,False
2015-10-04,2,0,0,1,0,False
2015-10-11,2,0,0,1,0,False
2015-10-18,2,0,0,1,0,False
2015-10-25,2,0,0,1,0,False
2015-11-01,4,0,0,1,0,False
2015-11-08,3,0,0,1,0,False
2015-11-15,2,0,0,1,0,False
2015-11-22,2,0,0,1,0,False
2015-11-29,2,0,0,1,0,False
2015-12-06,4,0,0,1,0,False
2015-12-13,3,0,0,1,0,False
2015-12-20,3,0,0,1,0,False
2015-12-27,2,0,0,1,0,False
2016-01-03,3,0,0,1,0,False
2016-01-10,3,0,0,1,0,False
2016-01-17,3,0,0,1,0,False
2016-01-24,2,0,0,1,0,False
2016-01-31,2,0,0,1,0,False
2016-02-07,2,0,0,1,0,False
2016-02-14,3,0,0,1,0,False
2016-02-21,2,0,0,1,1,False
2016-02-28,2,0,0,1,1,False
2016-03-06,2,0,0,1,1,False
2016-03-13,2,0,0,1,0,False
2016-03-20,2,0,0,1,0,False
2016-03-27,2,0,0,1,0,False
2016-04-03,2,0,0,1,0,False
2016-04-10,2,0,0,1,0,False
2016-04-17,2,0,0,1,0,False
2016-04-24,3,0,0,1,0,False
2016-05-01,4,0,0,1,0,False
2016-05-08,3,0,0,1,0,False
2016-05-15,2,0,0,1,0,False
2016-05-22,2,0,0,1,0,False
2016-05-29,3,0,0,1,0,False
2016-06-05,3,0,0,1,0,False
2016-06-12,4,0,1,2,1,False
2016-06-19,4,0,1,2,0,False
2016-06-26,3,0,0,2,0,False
2016-07-03,3,0,0,2,0,False
2016-07-10,3,0,0,2,0,False
2016-07-17,3,0,0,1,0,False
2016-07-24,3,0,1,1,0,False
2016-07-31,3,0,0,2,0,False
2016-08-07,3,0,0,3,0,False
2016-08-14,2,0,0,2,0,False
2016-08-21,2,0,0,2,0,False
2016-08-28,2,0,0,2,0,False
2016-09-04,3,0,0,2,0,False
2016-09-11,3,0,0,2,0,False
2016-09-18,2,0,0,2,1,False
2016-09-25,2,0,0,1,1,False
2016-10-02,2,0,0,1,0,False
2016-10-09,3,0,0,1,0,False
2016-10-16,3,0,0,1,0,False
2016-10-23,3,0,0,1,0,False
2016-10-30,3,0,0,1,0,False
2016-11-06,3,0,0,1,0,False
2016-11-13,3,0,0,1,0,False
2016-11-20,3,0,0,1,0,False
2016-11-27,3,0,0,1,0,False
2016-12-04,3,0,0,1,0,False
2016-12-11,3,0,0,1,0,False
2016-12-18,4,0,0,1,0,False
2016-12-25,5,0,0,2,0,False
2017-01-01,7,0,0,2,0,False
2017-01-08,6,0,0,2,0,False
2017-01-15,4,0,0,1,0,False
2017-01-22,4,0,0,1,0,False
2017-01-29,4,0,0,1,0,False
2017-02-05,4,0,0,2,0,False
2017-02-12,4,0,0,1,0,False
2017-02-19,5,0,0,2,1,False
2017-02-26,6,0,1,2,1,False
2017-03-05,6,0,1,2,1,False
2017-03-12,6,0,1,2,1,False
2017-03-19,6,0,1,2,1,False
2017-03-26,5,0,1,2,1,False
2017-04-02,5,0,1,2,1,False
2017-04-09,5,0,1,2,0,False
2017-04-16,5,0,1,2,0,False
2017-04-23,5,0,1,2,1,False
2017-04-30,7,0,2,2,1,False
2017-05-07,10,1,1,3,1,False
2017-05-14,11,1,1,3,1,False
2017-05-21,19,1,5,4,1,False
2017-05-28,12,1,4,3,1,False
2017-06-04,12,1,4,3,1,False
2017-06-11,13,2,7,4,2,False
2017-06-18,11,1,5,3,2,False
2017-06-25,11,1,5,3,1,False
2017-07-02,9,1,3,3,1,False
