,date,btc_price,bch_price,eth_price,ltc_price,doge_price,dash_price,xmr_price,xrp_price
0,2019-04-01,4148.0,167.521,141.265,60.402,0.00246,111.961,58.397,0.313
1,2019-03-31,4103.0,167.272,141.459,60.333,0.00208,105.654,54.332,0.31
2,2019-03-30,4103.0,167.874,142.857,60.759,0.00208,97.687,53.643,0.313
3,2019-03-29,4080.0,169.652,140.268,60.964,0.00208,97.376,53.195,0.308
4,2019-03-28,4032.0,168.41,138.322,60.692,0.00206,94.092,52.92,0.31
5,2019-03-27,4014.0,166.711,137.827,60.631,0.00205,91.875,52.743,0.31
6,2019-03-26,3933.0,157.305,133.834,58.498,0.00203,88.589,50.8,0.301
7,2019-03-25,3974.0,161.939,135.079,59.399,0.00201,90.632,52.062,0.307
8,2019-03-24,3989.0,163.845,136.269,59.764,0.00201,91.538,52.559,0.31
9,2019-03-23,4000.0,164.046,136.949,60.333,0.00202,90.984,52.62,0.312
10,2019-03-22,3999.0,155.116,136.278,58.961,0.00202,90.398,52.636,0.313
11,2019-03-21,4026.0,156.065,137.617,59.437,0.00203,91.513,53.485,0.312
12,2019-03-20,4021.0,157.658,138.281,59.641,0.00204,91.824,54.407,0.319
13,2019-03-19,4003.0,159.235,138.25,59.329,0.00206,91.27,52.962,0.319
14,2019-03-18,3993.0,160.333,138.526,59.79,0.00206,92.174,52.281,0.317
15,2019-03-17,3988.0,152.332,139.094,60.664,0.00205,91.011,52.5,0.317
16,2019-03-16,4006.0,154.804,141.208,60.972,0.00206,91.455,53.542,0.319
17,2019-03-15,3904.0,137.544,134.993,57.428,0.00203,89.942,51.406,0.315
18,2019-03-14,3874.0,131.324,132.092,55.762,0.00201,88.701,50.448,0.313
19,2019-03-13,3871.0,127.908,132.266,55.82,0.00203,90.744,50.259,0.317
20,2019-03-12,3871.0,127.995,133.189,55.531,0.00198,85.44,49.275,0.31
21,2019-03-11,3889.0,129.273,133.746,55.448,0.00194,81.557,48.997,0.31
22,2019-03-10,3916.0,131.407,135.818,56.811,0.00196,81.717,49.305,0.316
23,2019-03-09,3915.0,132.183,136.834,57.554,0.00196,81.685,49.647,0.314
24,2019-03-08,3896.0,129.234,136.622,56.412,0.00196,81.663,49.589,0.313
25,2019-03-07,3884.0,131.497,137.878,56.44,0.00197,82.609,50.139,0.317
