,date,open,high,low,close,volume,marketcap
0,2019-03-30,61.25,64.11,60.37,60.62,1698116593,3705312023
1,2019-03-29,61.17,61.53,60.26,61.3,1977436351,3745935357
2,2019-03-28,62.22,62.22,60.75,61.17,1818355774,3737005102
3,2019-03-27,59.41,62.29,59.33,62.25,2220590688,3802058092
4,2019-03-26,59.51,59.65,58.33,59.34,2020400713,3623575890
5,2019-03-25,60.3,60.93,59.0,59.5,2057863894,3632066769
6,2019-03-24,61.24,61.25,59.71,60.22,2041814465,3675521098
7,2019-03-23,59.79,61.71,59.51,61.35,2009701790,3743278484
8,2019-03-22,59.3,60.28,58.89,59.82,1660894830,3649353013
9,2019-03-21,60.87,61.08,58.74,59.38,1766689848,3621232358
10,2019-03-20,60.68,60.96,58.57,60.85,1990264182,3709898340
11,2019-03-19,60.22,60.95,59.75,60.62,1824124623,3694945405
12,2019-03-18,61.28,62.77,59.5,60.26,1971826811,3672726327
13,2019-03-17,61.88,61.99,60.78,61.24,1609232029,3731425001
14,2019-03-16,58.99,62.09,58.99,61.84,1997899601,3767063536
15,2019-03-15,56.54,59.39,56.54,58.99,1824454595,3592290246
16,2019-03-14,55.86,57.76,55.79,56.58,1610293200,3445001358
17,2019-03-13,57.08,57.21,55.43,55.93,1465625295,3404536113
18,2019-03-12,55.41,57.26,53.5,57.0,1666711996,3468475222
19,2019-03-11,57.19,57.85,54.83,55.42,1839260243,3371760953
20,2019-03-10,58.1,58.25,56.59,57.18,1778709344,3478033205
21,2019-03-09,56.0,59.29,56.0,58.09,2145350395,3532242783
22,2019-03-08,57.44,57.65,55.45,56.1,1977538387,3410590890
23,2019-03-07,55.84,59.0,55.08,57.19,2410843754,3475995867
24,2019-03-06,53.02,56.27,52.28,55.78,1998850452,3389799196
25,2019-03-05,46.52,54.02,46.14,53.13,2000300862,3227895751
26,2019-03-04,48.33,48.65,45.85,46.43,1243464082,2820102325
27,2019-03-03,49.02,49.39,48.09,48.38,1102677211,2937680218
28,2019-03-02,47.48,49.64,47.46,49.02,1227656624,2975500410
29,2019-03-01,46.24,48.99,46.15,47.49,1175425172,2882042603
30,2019-02-28,45.62,46.92,45.6,46.24,1119495712,2805515464
31,2019-02-27,45.5,46.14,44.41,45.58,1061879935,2765113387
32,2019-02-26,46.18,46.52,45.09,45.49,1060325373,2758957944
33,2019-02-25,44.58,47.19,44.58,46.21,1212141472,2802048987
34,2019-02-24,51.68,53.42,43.66,44.68,1618048131,2708358746
35,2019-02-23,49.67,51.89,48.67,51.68,1278039837,3132087064
36,2019-02-22,49.13,50.03,48.72,49.81,1213665948,3017677753
37,2019-02-21,51.84,51.84,48.68,49.15,1259734341,2977341432
38,2019-02-20,47.82,52.16,47.41,51.79,1582934318,3136141808
39,2019-02-19,48.14,49.18,47.27,47.86,1417050580,2897971715
40,2019-02-18,43.88,49.22,43.84,48.04,1462180271,2908055843
