Symbol,Week,Open,High,Low,Close,Volume
LTC,2019-04-03,61.72904966,95.67480466,61.22686068,84.08136053,9962360.75613000
LTC,2019-03-31,46.56289714,62.90427135,45.73476594,61.72949354,68648466.16110000
LTC,2019-02-28,31.61109965,52.50447453,31.11399497,46.52317754,69132249.85510001
LTC,2019-01-31,30.37495625,41.37572521,30.09474644,31.59330446,42028388.43610000
LTC,2018-12-31,32.04840103,36.93076410,22.68336118,30.37345014,31960929.74940000
LTC,2018-11-30,49.67079203,56.29522758,27.04532771,32.03858576,22704270.00570000
LTC,2018-10-31,61.10106256,61.65528207,48.05130952,49.55290193,14129596.22660000
LTC,2018-09-30,62.15764703,69.54567777,47.60357278,61.08445311,18965170.59290000
LTC,2018-08-31,79.37094354,79.40305295,50.18630497,62.12929668,13151497.13350000
LTC,2018-07-31,81.15292625,95.09583844,75.03245475,79.41624818,11977503.81450000
LTC,2018-06-30,118.55730026,127.99482375,72.86292609,81.10563478,13682531.83910000
LTC,2018-05-31,148.41187431,182.70671375,110.70816510,118.44893723,14727067.06380000
LTC,2018-04-30,116.39692588,165.91004202,110.40852020,148.36053847,18244994.74910000
LTC,2018-03-31,202.10446889,217.58294864,110.13690448,116.42674346,21620324.13430000
LTC,2018-02-28,163.01451835,251.01182471,102.68291403,202.05113415,38739283.39590000
LTC,2018-01-31,227.47262110,304.00867231,139.53743978,162.38784818,28673560.29990000
LTC,2017-12-31,86.06233756,375.41176813,82.53813693,228.00391299,71173215.62250000
LTC,2017-11-30,55.57714188,102.84318872,50.24494659,86.77598509,39675445.61590000
LTC,2017-10-31,55.61950452,69.85091232,48.27956933,55.62038435,24392277.02830000
LTC,2017-09-30,73.03758717,93.39233132,34.22872326,55.60482153,52578401.92430000
LTC,2017-08-31,42.27929330,74.57021295,40.93919246,73.22233768,21153911.89360000
LTC,2017-07-31,38.76531275,55.07811026,35.74572066,42.33757214,41202783.93900000
LTC,2017-06-30,25.31937830,49.96745850,25.26556029,38.86420714,52959195.25830000
LTC,2017-05-31,15.68119558,36.79250198,15.14785146,25.30637114,77337313.46259999
LTC,2017-04-30,7.10513834,16.09037128,6.58618564,15.69393050,78873099.10150000
LTC,2017-03-31,3.75576504,8.01095010,3.72075084,7.12801714,35742356.28910000
LTC,2017-02-28,4.01684235,4.03824899,3.57524727,3.75581553,8937570.50376000
LTC,2017-01-31,4.22010170,4.62663178,3.48787726,4.01106019,12610807.37280000
LTC,2016-12-31,3.86274869,4.64095857,3.22443672,4.21859711,5908253.05699000
LTC,2016-11-30,3.96026337,4.14072350,3.67357174,3.86414405,2598843.95354000
LTC,2016-10-31,3.82826577,4.07571449,3.75207676,3.95863928,2144729.67166000
LTC,2016-09-30,3.79427644,4.01973653,3.75110952,3.82860419,1719976.36939000
LTC,2016-08-31,3.94064985,3.98536310,3.32341434,3.79683879,3231890.03268000
LTC,2016-07-31,4.17019021,4.59311733,3.90011971,3.94197531,3224545.93904000
LTC,2016-06-30,4.57362645,5.81463930,3.38181924,4.17800477,9221613.48213000
LTC,2016-05-31,3.65802061,4.71755588,3.63854933,4.56166239,6740486.40244000
LTC,2016-04-30,3.24042616,4.22695402,3.17678967,3.65158838,4729519.62040000
LTC,2016-03-31,3.40969560,3.42428922,3.12257153,3.24051493,3752667.40487000
LTC,2016-02-29,3.05277547,3.54636216,3.02259032,3.41691965,3791248.48317000
